period,rgdp,ngdp,y,x,lf,c,W,sW,cW,ceW1,ceW2,rer0,tot0,nx0,ex0,im0,exrate0,texrate0,mktpen0,tau0,ntb0,rer1,tot1,nx1,ex1,im1,exrate1,texrate1,mktpen1,tau1,ntb1
0,2283.6422597066248272,2283.6422556762577187,4715.7685316952456560,335.1221374322561246,8.0488185017851031,1948.5201216829163968,38.2062769325118055,0.0000000000000000,97426.0058221084764227,0.0000000000000000,0.0000000000000000,1.0000000017648856,0.9999999858593974,1.0975557453539846,16.6010365410432641,15.5034807956892795,0.0404455581306676,0.0410000013005829,0.1537172130226901,0.0000000000000000,0.0000000000000000,1.0000000047070241,0.9999999837444759,-1.0975533868381717,111.0969842928063969,112.1945376796445686,0.0976467978870235,0.1000000035611496,0.1777091639785155,0.0000000000000000,0.0000000000000000
1,2283.6422596448169315,2283.6422572837695952,4715.7685303400658086,335.1221371369219924,8.0488184239876439,1948.5201221614138376,38.2062769332471746,0.0000000000000000,97426.0058633243170334,0.0000000000000000,0.0000000000000000,1.0000000010338954,0.9999999865583861,1.0975556606540362,16.6010365029579994,15.5034808423039632,0.0404455581306676,0.0410000011853980,0.1537172125025174,0.0000000000000000,0.0000000000000000,1.0000000024689384,0.9999999806797139,-1.0975530524251127,111.0969844331012268,112.1945374855263395,0.0976467978870234,0.1000000027517304,0.1777091626919665,0.0000000000000000,0.0000000000000000
2,2283.6422601285230485,2283.6422562511379510,4715.7685318446892779,335.1221376172488249,8.0488184854282672,1948.5201219422715440,38.2062769338095976,0.0000000000000000,97426.0058461176813580,0.0000000000000000,0.0000000000000000,1.0000000016978949,0.9999999889182192,1.0975555612476242,16.6010365556060648,15.5034809943584406,0.0404455581306676,0.0410000013138375,0.1537172130773973,0.0000000000000000,0.0000000000000000,1.0000000040763837,0.9999999839284163,-1.0975537386338914,111.0969840084906224,112.1945377471245138,0.0976467978870233,0.1000000033542303,0.1777091636189198,0.0000000000000000,0.0000000000000000
3,2283.6422599824231838,2283.6422582780887751,4715.7685315332701066,335.1221377673365396,8.0488184466971848,1948.5201219649775339,38.2062769344692157,0.0000000000000000,97426.0059326426708139,0.0000000000000000,0.0000000000000000,1.0000000007463228,0.9999999842272872,1.0975557963428333,16.6010366901517976,15.5034808938089643,0.0404455581306677,0.0410000011456542,0.1537172125147369,0.0000000000000000,0.0000000000000000,1.0000000030370406,0.9999999834555984,-1.0975539911055989,111.0969834372050826,112.1945374283106815,0.0976467978870236,0.1000000030169339,0.1777091630854197,0.0000000000000000,0.0000000000000000
4,2283.6422600821947526,2283.6422583220742126,4715.7685317531795590,335.1221378544269669,8.0488184445459936,1948.5201219694722568,38.2062769351331184,0.0000000000000000,97426.0059407327353256,0.0000000000000000,0.0000000000000000,1.0000000007707515,0.9999999882707842,1.0975555374837000,16.6010365133095554,15.5034809758258554,0.0404455581306676,0.0410000011637492,0.1537172125482774,0.0000000000000000,0.0000000000000000,1.0000000028796776,0.9999999832505320,-1.0975539646227475,111.0969833078441127,112.1945372724668601,0.0976467978870234,0.1000000029821813,0.1777091629775595,0.0000000000000000,0.0000000000000000
5,2283.6422603040946342,2283.6422573034260495,4715.7685321207072775,335.1221378524614352,8.0488184505210167,1948.5201220112885494,38.2062769358085319,0.0000000000000000,97426.0059036587335868,0.0000000000000000,0.0000000000000000,1.0000000013139836,0.9999999874793887,1.0975556210857427,16.6010365051964044,15.5034808841106617,0.0404455581306676,0.0410000012573266,0.1537172128701715,0.0000000000000000,0.0000000000000000,1.0000000029731499,0.9999999842109326,-1.0975543468518083,111.0969831095118963,112.1945374563637046,0.0976467978870233,0.1000000030109102,0.1777091630144562,0.0000000000000000,0.0000000000000000
6,2283.6422601729382222,2283.6422590586057595,4715.7685319419615553,335.1221379936868630,8.0488184245803591,1948.5201220157241551,38.2062769364810606,0.0000000000000000,97426.0059807272773469,0.0000000000000000,0.0000000000000000,1.0000000004879626,0.9999999889217736,1.0975554665360487,16.6010364357690889,15.5034809692330402,0.0404455581306676,0.0410000011083357,0.1537172123921608,0.0000000000000000,0.0000000000000000,1.0000000022697222,0.9999999831168391,-1.0975541766890018,111.0969828362456013,112.1945370129346031,0.0976467978870234,0.1000000028008704,0.1777091626246247,0.0000000000000000,0.0000000000000000
7,2283.6422607499898731,2283.6422559415914293,4715.7685322409242872,335.1221377016328233,8.0488184424780336,1948.5201223427293371,38.2062769371652919,0.0000000000000000,97426.0058434296515770,0.0000000000000000,0.0000000000000000,1.0000000021055830,0.9999999897106063,1.0975555320585197,16.6010365750288038,15.5034810429702841,0.0404455581306677,0.0410000013695295,0.1537172131694160,0.0000000000000000,0.0000000000000000,1.0000000026582530,0.9999999845125265,-1.0975546256647988,111.0969830502663456,112.1945376759311443,0.0976467978870235,0.1000000028775941,0.1777091627738835,0.0000000000000000,0.0000000000000000
8,2283.6422608200236937,2283.6422603325049749,4715.7685320851060169,335.1221382468679053,8.0488184145437920,1948.5201225016126045,38.2062769377349767,0.0000000000000000,97426.0060271395195741,0.0000000000000000,0.0000000000000000,1.0000000002134830,0.9999999856985001,1.0975556677572396,16.6010366408226204,15.5034809730653809,0.0404455581306676,0.0410000010550845,0.1537172121754445,0.0000000000000000,0.0000000000000000,1.0000000022877591,0.9999999844873195,-1.0975547782781518,111.0969831047385412,112.1945378830166931,0.0976467978870233,0.1000000027744532,0.1777091625124206,0.0000000000000000,0.0000000000000000
9,2283.6422608726284125,2283.6422599697880287,4715.7685322716170049,335.1221382336730699,8.0488184169484942,1948.5201225064643040,38.2062769382537510,0.0000000000000000,97426.0060173928941367,0.0000000000000000,0.0000000000000000,1.0000000003953509,0.9999999871703178,1.0975555870382880,16.6010366607821531,15.5034810737438651,0.0404455581306676,0.0410000010861025,0.1537172122077994,0.0000000000000000,0.0000000000000000,1.0000000021049282,0.9999999844285438,-1.0975548230549634,111.0969828358528133,112.1945376589077767,0.0976467978870234,0.1000000027289298,0.1777091624424646,0.0000000000000000,0.0000000000000000
